Category;FullScientificName;ScientificName;FrenchName;Rarete
A;Calandrella brachydactyla (Leisler, 1814);Calandrella brachydactyla;Alouette calandrelle;Commun
A;Melanocorypha bimaculata (Ménétries, 1832);Melanocorypha bimaculata;Alouette monticole;Legendaire
A;Melanocorypha calandra (Linnaeus, 1766);Melanocorypha calandra;Alouette calandre;Rare
A;Riparia paludicola (Vieillot, 1817);Riparia paludicola;Hirondelle paludicole;Legendaire
A;Riparia riparia (Linnaeus, 1758);Riparia riparia;Hirondelle de rivage;Commun
A;Ptyonoprogne rupestris (Scopoli, 1769);Ptyonoprogne rupestris;Hirondelle de rochers;Commun
A;Hirundo rustica Linnaeus, 1758;Hirundo rustica;Hirondelle rustique;Commun
A;Delichon urbicum (Linnaeus, 1758);Delichon urbicum;Hirondelle de fenêtre;Commun
A;Cecropis rufula (Temminck, 1835);Cecropis rufula;Hirondelle rousseline;Rare
A;Petrochelidon pyrrhonota (Vieillot, 1817);Petrochelidon pyrrhonota;Hirondelle à front blanc;Epique
A;Cettia cetti (Temminck, 1820);Cettia cetti;Bouscarle de Cetti;Commun
A;Aegithalos caudatus (Linnaeus, 1758);Aegithalos caudatus;Orite à longue queue;Commun
A;Phylloscopus sibilatrix (Bechstein, 1793);Phylloscopus sibilatrix;Pouillot siffleur;Commun
A;Phylloscopus bonelli (Vieillot, 1819);Phylloscopus bonelli;Pouillot de Bonelli;Commun
A;Phylloscopus orientalis (Brehm, CL, 1855) ;Phylloscopus orientalis;Pouillot oriental;Legendaire
